Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	false	false	Homo sapiens	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	5:Protein uncertain	49.25	1.0000	0.9990	0.00000000000000	8	0	8	39	0	39	     0	     0	     0	5C(57.0214), 6C(57.0214), 9C(57.0214)		sp|P0DPI2|GAL3A_HUMAN
sp|A0A2R8Y4L2|RA1L3_HUMAN	A0A2R8Y4L2	RA1L3_HUMAN	HNRNPA1L3	320	false	false	Homo sapiens	Heterogeneous nuclear ribonucleoprotein A1-like 3	4:Protein predicted	61.56	1.0000	0.9990	0.00000000000000	14	1	1	326	23	23	     0	     0	     0	44M(15.9949)		
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	false	false	Homo sapiens	RNA-binding protein 47	1:Experimental evidence at protein level	17.20	1.0000	0.9990	0.00000000000000	5	5	5	19	19	19	     0	     0	     0	9C(57.0214)		
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	false	false	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	1:Experimental evidence at protein level	31.27	1.0000	0.9990	0.00000000000000	22	22	22	51	51	51	     0	     0	     0	10C(57.0214), 17C(57.0214), 1C(57.0214), 2C(57.0214), 3C(57.0214), 6C(57.0214), 7C(57.0214), 8C(57.0214), N-term(42.0106)		
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	false	false	Homo sapiens	Extended synaptotagmin-2	1:Experimental evidence at protein level	23.67	1.0000	0.9990	0.00000000000000	14	14	14	37	37	37	     0	     0	     0	2C(57.0214)		
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	false	false	Homo sapiens	Shootin-1	1:Experimental evidence at protein level	25.20	1.0000	0.9990	0.00000000000000	12	12	12	46	46	46	     0	     0	     0	11C(57.0214)		
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	false	false	Homo sapiens	2-hydroxyacyl-CoA lyase 2	1:Experimental evidence at protein level	33.70	1.0000	0.9990	0.00000000000000	12	12	12	46	46	46	     0	     0	     0	10C(57.0214), 12C(57.0214), 16C(57.0214)		
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	false	false	Homo sapiens	NBAS subunit of NRZ tethering complex	1:Experimental evidence at protein level	2.87	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	     0	     0	     0	1C(57.0214), 5C(57.0214)		
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	false	false	Homo sapiens	von Willebrand factor A domain-containing protein 8	1:Experimental evidence at protein level	3.94	1.0000	0.9990	0.00000000000000	5	5	5	7	7	7	     0	     0	     0	6C(57.0214)		
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	false	false	Homo sapiens	GTP-binding protein 10	1:Experimental evidence at protein level	16.54	1.0000	0.9990	0.00000000000000	4	4	4	9	9	9	     0	     0	     0			
